property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0.0,61.0,4,4,3.0,0.0,2100.0,0,0,1,1.0,1.0,1.55
0.0,100.0,2,2,1.0,3.0,577.78,0,0,1,1.0,2.0,0.5
0.0,18.0,3,5,2.0,3.0,2800.0,1,0,1,2.0,2.0,3.65
0.0,62.0,3,4,4.0,3.0,2500.0,1,0,2,0.0,2.0,4.8
0.0,97.0,3,3,3.0,3.0,1500.0,1,0,2,0.0,2.0,1.76
0.0,109.0,2,2,1.0,3.0,882.88,0,0,1,2.0,1.0,0.45
0.0,59.0,4,3,3.0,0.0,10000.0,1,0,1,1.0,2.0,8.0
0.0,59.0,4,4,3.0,0.0,11111.11,1,0,1,1.0,2.0,8.5
0.0,113.0,2,2,3.0,1.0,1176.0,0,0,1,1.0,1.0,1.05
0.0,90.0,2,2,2.0,0.0,1224.0,0,0,1,1.0,2.0,0.7
0.0,94.0,4,4,4.0,1.0,2587.39,1,0,0,0.0,2.0,3.45
0.0,99.0,2,2,3.0,3.0,1477.48,0,0,1,1.0,0.0,1.05
0.0,6.0,2,2,3.0,0.0,1368.0,0,0,1,1.0,0.0,1.6
0.0,12.0,4,5,3.0,3.0,2343.0,0,0,1,2.0,0.0,3.95
1.0,95.0,4,4,4.0,3.0,3240.0,1,0,2,1.0,1.0,7.0
0.0,113.0,2,2,3.0,1.0,913.33,0,0,1,2.0,2.0,0.56
0.0,6.0,2,2,1.0,4.0,813.51,0,0,1,2.0,2.0,1.1
0.0,91.0,2,2,3.0,1.0,1416.22,0,0,1,1.0,2.0,1.29
0.0,84.0,3,3,2.0,0.0,1537.58,1,0,2,2.0,0.0,1.15
0.0,102.0,2,2,3.0,1.0,1350.0,0,0,1,1.0,2.0,0.92
0.0,35.0,1,1,1.0,2.0,990.99,0,0,2,2.0,1.0,1.0
1.0,32.0,3,9,4.0,2.0,1935.0,1,1,2,2.0,2.0,6.5
0.0,75.0,2,2,3.0,4.0,1592.22,0,0,1,1.0,2.0,2.25
0.0,71.0,2,2,2.0,4.0,1277.78,0,0,1,1.0,2.0,1.6
1.0,30.0,4,4,2.0,2.0,3078.0,0,0,1,1.0,1.0,5.0
0.0,96.0,3,2,3.0,3.0,1666.67,0,0,2,2.0,1.0,1.25
0.0,91.0,3,3,3.0,3.0,1176.0,0,1,2,2.0,0.0,1.3
0.0,97.0,2,2,2.0,3.0,990.0,0,0,2,0.0,1.0,0.6
0.0,113.0,2,2,3.0,1.0,822.0,0,0,1,2.0,1.0,0.65
0.0,6.0,3,3,3.0,3.0,1311.58,1,0,2,2.0,2.0,1.38
0.0,71.0,3,4,4.0,4.0,2250.0,1,0,1,2.0,0.0,3.87
0.0,103.0,3,3,3.0,1.0,1944.44,0,0,1,1.0,1.0,1.5
0.0,99.0,2,2,2.0,3.0,1934.44,0,0,2,1.0,0.0,1.25
0.0,74.0,2,2,2.0,4.0,1166.67,0,0,1,1.0,1.0,1.55
0.0,78.0,4,4,0.0,1.0,2555.56,0,0,1,1.0,2.0,1.85
0.0,71.0,2,2,2.0,4.0,1333.33,0,0,1,1.0,1.0,1.65
0.0,71.0,2,2,2.0,1.0,1277.78,0,0,1,2.0,2.0,1.47
0.0,84.0,3,3,3.0,3.0,1459.46,0,0,1,2.0,0.0,1.1
